F5	9606.ENSP00000354631
9606.ENSP00000286827
9606.ENSP00000311436
9606.ENSP00000280333
9606.ENSP00000343144
9606.ENSP00000279249
9606.ENSP00000371547
9606.ENSP00000337023
9606.ENSP00000358647
9606.ENSP00000359610
9606.ENSP00000365604
9606.ENSP00000365572
9606.ENSP00000225973
9606.ENSP00000344852
9606.ENSP00000250617
9606.ENSP00000290470
9606.ENSP00000347710
9606.ENSP00000365771
9606.ENSP00000247170
9606.ENSP00000354718
9606.ENSP00000311656
9606.ENSP00000360020
9606.ENSP00000345808
9606.ENSP00000313506
9606.ENSP00000312185
9606.ENSP00000303163
9606.ENSP00000364893
9606.ENSP00000341071
9606.ENSP00000285046
9606.ENSP00000373347
9606.ENSP00000278568
9606.ENSP00000364770
9606.ENSP00000006951
9606.ENSP00000353275
9606.ENSP00000290246
9606.ENSP00000320434
9606.ENSP00000316845
9606.ENSP00000352995
9606.ENSP00000262444
9606.ENSP00000315334
9606.ENSP00000353849
9606.ENSP00000295713
9606.ENSP00000355060
9606.ENSP00000340594
9606.ENSP00000341489
9606.ENSP00000219255
9606.ENSP00000261833
9606.ENSP00000359045
9606.ENSP00000354544
9606.ENSP00000274498
9606.ENSP00000275189
9606.ENSP00000261535
9606.ENSP00000364631
9606.ENSP00000347198
9606.ENSP00000286494
9606.ENSP00000338785
9606.ENSP00000317258
9606.ENSP00000310491
9606.ENSP00000258201
9606.ENSP00000336923
9606.ENSP00000352332
9606.ENSP00000269321
9606.ENSP00000362635
9606.ENSP00000270747
9606.ENSP00000356033
9606.ENSP00000056217
9606.ENSP00000253401
9606.ENSP00000362279
9606.ENSP00000371255
9606.ENSP00000371219
9606.ENSP00000321971
9606.ENSP00000354077
9606.ENSP00000349056
9606.ENSP00000310561
9606.ENSP00000254260
9606.ENSP00000357298
9606.ENSP00000367394
9606.ENSP00000366121
9606.ENSP00000358463
9606.ENSP00000364277
9606.ENSP00000338967
9606.ENSP00000367629
9606.ENSP00000353109
9606.ENSP00000347134
9606.ENSP00000367141
9606.ENSP00000350595
9606.ENSP00000339467
9606.ENSP00000276211
9606.ENSP00000365891
9606.ENSP00000369181
9606.ENSP00000251822
